,bus,vLN,sInjkW
225,74.1,(205.44058247573375-119.68504853837163j),-0j
226,74.2,(-206.71606221274146-118.32642786055739j),(-0+0j)
227,74.3,(0.7278302695725011+238.0153522721225j),0j
228,75.1,(206.58551001252383-119.97555317787548j),(1.0000062333758843+0.3286906043307129j)
229,75.2,(-207.42345305472804-119.01129702148431j),(-0+0j)
230,75.3,(0.5618972457840545+239.1862440284447j),0j
231,76.1,(206.30773354836106-119.85900858051518j),-0j
232,76.2,(-207.1302078937866-118.77882742743854j),(-0+0j)
233,76.3,(0.6001263075299171+238.875938357936j),0j
234,77.1,(206.32050439799335-119.86888961684734j),-0j
235,77.2,(-207.0106177965772-118.75684399743838j),(-0+0j)
236,77.3,(0.597926563735732+238.88212693685406j),0j
237,78.1,(206.31664913069753-119.86968438588053j),-0j
238,78.2,(-207.15137908391375-118.79538743515822j),(-0+0j)
239,78.3,(0.5940712964399101+238.88133216782091j),0j
240,79.1,(205.82277480921297-119.74998266145283j),-0j
241,79.2,(-206.94764165655954-118.53984286611585j),(-0+0j)
242,79.3,(0.6450849610723508+238.4565639510509j),0j
243,80.1,(205.82645284981112-119.75201108467344j),-0j
244,80.2,(-206.9486485884028-118.54176494571949j),(-0+0j)
245,80.3,(0.6455103087380084+238.45790680788195j),0j
246,81.1,(205.4386099991653-119.68468976476781j),-0j
247,81.2,(-206.7148876294327-118.325328655606j),(-0+0j)
248,81.3,(0.7282367274615402+238.01312412232272j),0j
249,82.1,(206.30649573855123-119.86274513351971j),-0j
250,82.2,(-207.13144570359697-118.78256398044309j),(-0+0j)
251,82.3,(0.5631829751760143+238.73475228752406j),0j
252,83.1,(206.28980777697103-119.84425951983626j),-0j
253,83.2,(-207.12251234076268-118.76418158930207j),(-0+0j)
254,83.3,(0.5990063242494591+238.8777835990203j),0j
255,84.1,(206.31261524012945-119.85788196678442j),-0j
256,84.2,(-207.12010921019123-118.77386130078747j),(-0+0j)
257,84.3,(0.6050079992982366+238.8770649716668j),0j
258,85.1,(206.32114405271707-119.86875775108362j),-0j
259,85.2,(-206.9872630936582-118.75044898248464j),(1.0000078030091886+0.3286912563155273j)
260,85.3,(0.5985662184594912+238.8822588026178j),0j
261,86.1,(205.7853002365385-119.72931559936582j),-0j
262,86.2,(-206.9373822971165-118.52025931072095j),(-0+0j)
263,86.3,(0.6407512073848313+238.44288194168712j),0j
264,87.1,(205.82277480921297-119.7499826614528j),-0j
265,87.2,(-206.94764165655957-118.53984286611582j),(-0+0j)
266,87.3,(0.6450849610723385+238.45656395105095j),0j
267,88.1,(205.43709717211388-119.6844145967775j),-0j
268,88.2,(-206.71398676123886-118.32448560022468j),(-0+0j)
269,88.3,(0.7285484677881421+238.01141520200122j),0j
270,89.1,(206.3062834894928-119.86338584572808j),-0j
271,89.2,(-207.13165795265544-118.78320469265145j),(-0+0j)
